N,Avg Exec Time
10000,2166.0
20000,4378.4
30000,6474.9
40000,8604.5
50000,10629.0
60000,12615.1
70000,14417.6
80000,16271.8
90000,18242.7
100000,20220.2
110000,22192.7
120000,23940.3
130000,26191.3
140000,28564.0
150000,29800.3
160000,31953.5
170000,33818.7
180000,35925.5
190000,37739.8
200000,39361.5
210000,41260.4
220000,42856.7
230000,45423.8
240000,46741.3
250000,50243.4
260000,51768.5
270000,53477.8
280000,54697.2
290000,56749.8
300000,58261.1
310000,61249.5
320000,62199.1
330000,64214.9
340000,67197.9
350000,68390.2
360000,70125.0
370000,72075.4
380000,74670.0
390000,75657.2
400000,80220.2
410000,79994.7
420000,81212.8
430000,83934.9
440000,85157.7
450000,87413.8
460000,90260.5
470000,91846.6
480000,94333.1
490000,95022.6
500000,97563.4
510000,99576.3
520000,101387.7
530000,103812.2
540000,105594.8
550000,107652.1
560000,108874.8
570000,116027.4
580000,112825.3
590000,122573.2
600000,117738.9
610000,118096.3
620000,120553.9
630000,122223.9
640000,124291.2
650000,126957.6
660000,128089.0
670000,130433.7
680000,132068.6
690000,134485.6
700000,135584.6
710000,138779.9
720000,139654.8
730000,141204.8
740000,143349.9
750000,147190.0
760000,147953.0
770000,149461.6
780000,149713.7
790000,152551.4
800000,155606.1
810000,157163.2
820000,157392.7
830000,161556.9
840000,162434.1
850000,166164.5
860000,166690.9
870000,166828.5
880000,169393.2
890000,172844.7
900000,173602.7
910000,176542.9
920000,178706.3
930000,178352.7
940000,181673.4
950000,181988.1
960000,183707.5
970000,187120.1
980000,189081.9
990000,191054.0
1000000,193933.2
1010000,196628.5
1020000,198065.7
1030000,198882.9
1040000,200875.5
1050000,203047.5
1060000,204950.0
1070000,207616.8
1080000,206558.1
1090000,212011.9
1100000,212169.6
1110000,213470.6
1120000,216918.5
1130000,217815.8
1140000,219371.7
1150000,220906.4
1160000,223804.3
1170000,224414.8
1180000,227656.8
1190000,228387.0
1200000,232733.5
1210000,234209.6
1220000,235598.0
1230000,237093.2
1240000,240141.1
1250000,239622.1
1260000,242819.7
1270000,245029.0
1280000,245517.7
1290000,252176.7
1300000,251436.0
1310000,253130.9
1320000,256802.9
1330000,255659.0
1340000,258477.6
1350000,258529.3
1360000,259908.7
1370000,262003.4
1380000,265550.9
1390000,266836.9
1400000,271348.8
1410000,273089.8
1420000,275640.3
1430000,279204.5
1440000,275487.7
1450000,282524.5
1460000,280398.2
1470000,281221.7
1480000,289657.9
1490000,287822.6
1500000,288726.8
1510000,289676.3
1520000,292809.9
1530000,292390.8
1540000,297490.0
1550000,297776.2
1560000,300990.0
1570000,300337.6
1580000,304402.9
1590000,305893.2
1600000,307149.2
1610000,308138.9
1620000,309870.2
1630000,312911.4
1640000,316268.8
1650000,315393.1
1660000,319950.2
1670000,323036.2
1680000,324534.6
1690000,325436.9
1700000,328692.9
1710000,332969.5
1720000,342845.6
1730000,334159.0
1740000,334030.2
1750000,337056.2
1760000,335870.1
1770000,338392.5
1780000,340874.4
1790000,341337.4
1800000,342047.6
1810000,349449.8
1820000,351845.3
1830000,350498.8
1840000,351274.5
1850000,353048.2
1860000,356768.6
1870000,358829.7
1880000,362908.0
1890000,362358.2
1900000,363951.1
1910000,365261.5
1920000,370266.8
1930000,370349.2
1940000,370827.8
1950000,375855.5
1960000,374759.3
1970000,380801.0
1980000,381189.1
1990000,383189.0
2000000,392007.0
2010000,389687.2
2020000,393806.7
2030000,394049.3
2040000,394505.0
2050000,399950.3
2060000,397801.2
2070000,399528.4
2080000,405507.6
2090000,407439.7
2100000,403088.6
2110000,407813.5
2120000,409652.3
2130000,408267.6
2140000,594181.9
2150000,470610.7
2160000,472128.9
2170000,431620.8
2180000,433752.6
2190000,434174.3
2200000,435884.7
2210000,432567.3
2220000,435026.0
2230000,436908.6
2240000,440578.3
2250000,443543.4
2260000,443122.2
2270000,446338.9
2280000,447603.3
2290000,446760.3
2300000,450818.2
2310000,454353.8
2320000,457109.2
2330000,458754.1
2340000,458806.7
2350000,467156.3
2360000,464961.2
2370000,465875.0
2380000,474940.6
2390000,477111.7
2400000,479108.7
2410000,483747.1
2420000,475218.8
2430000,478895.0
2440000,492479.8
2450000,482081.3
2460000,483553.2
2470000,485303.1
2480000,485041.5
2490000,491482.6
2500000,497516.6
2510000,493630.6
2520000,494253.8
2530000,498367.2
2540000,508108.8
2550000,500706.2
2560000,513065.4
2570000,512697.3
2580000,515108.3
2590000,509338.0
2600000,505648.0
2610000,513628.4
2620000,508664.6
2630000,517592.5
2640000,515862.7
2650000,516034.7
2660000,516427.8
2670000,521866.1
2680000,522059.8
2690000,523817.9
2700000,523800.1
2710000,526933.9
2720000,528107.3
2730000,531351.9
2740000,535846.1
2750000,535466.6
2760000,537784.3
2770000,564199.3
2780000,685948.7
2790000,612123.2
2800000,563516.8
2810000,556810.1
2820000,566215.2
2830000,567395.5
2840000,569990.0
2850000,547411.1
2860000,546971.4
2870000,549351.0
2880000,555313.6
2890000,554280.1
2900000,558037.7
2910000,554100.9
2920000,557932.8
2930000,557597.6
2940000,562676.1
2950000,564528.4
2960000,564508.2
2970000,568874.5
2980000,569670.8
2990000,575180.0
3000000,582120.8
3010000,574486.4
3020000,575837.7
3030000,578082.8
3040000,580349.2
3050000,596779.0
3060000,590416.7
3070000,587285.2
3080000,590822.1
3090000,597489.6
3100000,605383.8
3110000,595401.3
3120000,595130.9
3130000,596805.7
3140000,603409.7
3150000,614395.0
3160000,603623.6
3170000,605645.5
3180000,615257.0
3190000,630793.6
3200000,620208.5
3210000,661847.6
3220000,650449.7
3230000,644667.5
3240000,640022.2
3250000,645799.9
3260000,644252.9
3270000,653146.6
3280000,650372.7
3290000,653867.2
3300000,653662.5
3310000,650955.1
3320000,662604.6
3330000,654769.1
3340000,677245.8
3350000,662391.9
3360000,670357.7
3370000,671031.6
3380000,681303.4
3390000,669338.1
3400000,669921.9
3410000,679933.6
3420000,675856.0
3430000,679024.8
3440000,675223.5
3450000,677136.8
3460000,685057.1
3470000,686760.8
3480000,682860.5
3490000,686439.6
3500000,712540.1
3510000,701175.2
3520000,700317.9
3530000,690262.5
3540000,690802.6
3550000,690765.6
3560000,694223.5
3570000,698824.9
3580000,696692.9
3590000,700312.0
3600000,709430.8
3610000,703256.7
3620000,705461.3
3630000,706933.2
3640000,715902.4
3650000,710005.1
3660000,716786.1
3670000,717509.6
3680000,723664.7
3690000,719295.3
3700000,720804.1
3710000,723139.6
3720000,723377.4
3730000,746520.8
3740000,731747.8
3750000,729454.1
3760000,731124.0
3770000,734052.0
3780000,734813.7
3790000,741609.0
3800000,735854.9
3810000,742346.7
3820000,747905.5
3830000,742746.1
3840000,743997.5
3850000,749962.7
3860000,746778.5
3870000,751995.0
3880000,762961.1
3890000,764056.7
